,id,0
0,114982,504999.0401212083
1,95653,764810.0683520976
2,40303,300348.34767844144
3,109506,416265.0151886083
4,100149,560395.3627428327
5,7610,440764.8413444635
6,61101,306168.9904556071
7,68167,445709.2552656571
8,65701,229923.51870622183
9,56039,619211.2635120449
10,81919,525813.4178254708
11,99768,544242.1541477676
12,124053,783540.411131396
13,3942,512462.60422595625
14,118904,584999.2196510728
15,30060,298108.8787799619
16,185729,842233.4205904014
17,46357,565323.2902929937
18,20662,493575.7987201612
19,102274,592369.109800752
20,53369,334819.3625401064
21,9719,422008.3239383613
22,20145,429021.0233886428
23,159051,823879.5694860206
24,31481,405822.8460958337
25,142247,854067.4781139737
26,29119,203537.62229720628
27,151448,231638.6460593895
28,60594,266665.66809231206
29,83400,610417.3824837797
30,40168,278970.60545709066
31,52407,315788.98075173306
32,127232,690622.7236876423
33,131188,737653.6926163244
34,952,349616.46808891353
35,166230,742892.7080547945
36,144844,436792.51350623294
37,33207,278678.5827722779
38,28355,405677.0731666324
39,179918,622497.7764705756
40,162451,643073.742129542
41,19390,439909.3640016594
42,114861,703615.4481121033
43,132259,508821.62391226424
44,180033,878746.658209122
45,97052,634363.1664315136
46,94224,424123.63118908776
47,32295,407097.65721191105
48,171908,781675.4381173009
49,80236,551172.821778572
50,156193,649322.4731191499
51,54494,397611.5864644003
52,174530,682507.6948277286
53,143835,564016.7127071088
54,26275,615109.1402119971
55,61627,478733.68048639933
56,49813,308071.2076720171
57,3466,577453.6694972264
58,117691,543395.4883613585
59,132738,508669.2354580524
60,114211,758154.3571857079
61,116741,547640.9880367194
62,39246,373359.1506011002
63,150011,307173.31396724354
64,182319,748807.783960019
65,32441,221438.86804108744
66,18842,451582.4522452879
67,99428,414257.9420445116
68,96435,530470.4033977457
69,134803,301828.9930886318
70,171636,609818.8725527998
71,115944,999638.8445908152
72,149001,791214.0035477175
73,19084,473949.8895614355
74,178128,961402.2325292414
75,74818,430764.08782841935
76,49603,424486.8334933286
77,86262,528750.8748669063
78,14520,555708.2068262859
79,57209,713982.3304476287
80,148575,694435.516792304
81,33,145595.97819638794
82,180401,530011.5244590126
83,87114,735774.7793983906
84,16450,505295.70637209754
85,28848,377569.4859851162
86,11519,294244.2525983514
87,7202,562096.2305934342
88,2843,396538.2879046676
89,156073,641467.3398550753
90,132217,678963.8658747238
91,140349,746614.0881403482
92,34614,214103.60801374944
93,135594,697607.1852436031
94,170933,620665.7692416472
95,62586,515568.49722227466
96,145868,514565.5700960589
97,15155,279702.50369841163
98,61290,311980.8087152317
99,184569,844162.4794950602
100,169996,604414.814631426
101,7026,314889.11232566636
102,128356,507906.3758693062
103,134501,711514.4041826848
104,163406,662391.3166316168
105,56796,513769.0115079181
106,174870,1131724.9428153343
107,142554,796094.806015771
108,59547,307396.887310017
109,143113,720147.2880011541
110,154091,722124.6325459136
111,61191,444279.1690119888
112,135899,760927.7380900527
113,172405,671646.1694323232
114,184121,576975.5982426659
115,1063,131861.6958300321
116,6348,216148.7440254008
117,79995,772499.2674078601
118,50573,284639.77103369357
119,79894,732968.0090977503
120,113553,551235.0117225568
121,31931,516956.57443933527
122,86645,480611.308534112
123,123780,674849.3431874217
124,142940,748681.27613342
125,138987,409991.06286860956
126,41502,397973.67440117046
127,100104,1004814.7730122553
128,83570,653926.1858649733
129,181648,857561.1882934291
130,68406,425297.006339077
