Id,Predicted
114982,552578.9750202708
95653,419026.4464825691
40303,187036.93890504836
109506,463063.6674717226
100149,752902.2663424623
7610,276987.70544855506
61101,548024.2027851221
68167,509350.891722017
65701,386278.89929238433
56039,503661.88678648433
81919,554037.7535240988
99768,529527.3819185724
124053,784716.0435913722
3942,607971.0527804043
118904,508317.30150437227
30060,324886.5339372483
185729,563231.1166362093
46357,627886.5409719748
20662,492886.48270200356
102274,521834.81474816386
53369,352770.21190505096
9719,502043.57965566625
20145,606071.3684303112
159051,859160.2746187518
31481,506507.94671445305
142247,738528.9858593855
29119,217095.89165050816
151448,448538.16739065025
60594,514129.16065391485
83400,593329.7901651554
40168,526448.6840939121
52407,367834.9164029992
127232,680676.919923835
131188,667392.1001115276
952,251424.45009722986
166230,713123.5555723934
144844,626170.4592801314
33207,366624.6980856872
28355,613971.2819340809
179918,830645.3055222802
162451,383031.21310677676
19390,264892.8441881588
114861,733566.4138559254
132259,653044.9075596116
180033,857932.1104521942
97052,721905.3040596696
94224,354778.493599578
32295,463582.0823648202
171908,587997.9111918815
80236,635939.240577742
156193,626485.2260296334
54494,353503.2053413361
174530,677584.8094382263
143835,664488.9883498121
26275,433239.1125274944
61627,607055.8979321506
49813,177006.84767190617
3466,663142.9960241002
117691,694823.0878668367
132738,614914.6160189122
114211,794358.8695874312
116741,446627.22683069506
39246,269177.64470897825
150011,421626.12704535655
182319,770614.482366601
32441,202437.79274663044
18842,630093.4355836445
99428,713142.2945060243
96435,492024.22462789586
134803,497570.7987379758
171636,566247.567098237
115944,562908.0729452454
149001,762793.5582147227
19084,448756.64160044707
178128,764864.8024565168
74818,452801.28724575136
49603,412029.3102921861
86262,743800.4671536377
14520,332167.14629959984
57209,805276.9739452313
148575,742878.1187615634
33,109434.54181723075
180401,931071.358855762
87114,685613.2190445459
16450,342379.48435831815
28848,418904.30173465586
11519,279085.744459285
7202,361092.5614214499
2843,292727.84392306017
156073,810770.9240373692
132217,634054.8896582958
140349,740579.2102483833
34614,238027.32988263402
135594,632192.3203806726
170933,587602.927704747
62586,460594.48843442585
145868,680793.5201794666
15155,331905.3788304115
61290,493409.4751045289
184569,755414.3359463925
169996,378989.4021175528
7026,241447.99334778843
128356,590002.7142606572
134501,713056.0452514968
163406,544097.2026443544
56796,458754.7886177282
174870,985035.1274674092
142554,586640.4153645801
59547,275374.18491118203
143113,662610.066970872
154091,563223.5921729209
61191,576849.5025786026
135899,746249.7516844468
172405,453745.3830273674
184121,646316.2708202451
1063,264603.00733030075
6348,369702.8999207113
79995,726359.5596289865
50573,210954.7586133752
79894,667570.5404454481
113553,563361.2153286937
31931,509308.58485848585
86645,385066.8484668649
123780,518382.1629072148
142940,810052.7136542699
138987,605879.7934611677
41502,343674.23759429104
100104,909037.6316866042
83570,721756.5328877168
181648,685444.7373900239
68406,273406.4514057749
114567,601097.2584881606
5470,478154.90627756604
176926,840372.5575256667
173013,469349.1934558779
110219,448602.6396002233
52178,339693.3529040013
120569,455987.21575898415
132710,688243.3187487789
10478,339538.2386719946
100309,841994.5807100316
76446,756398.3364948607
140674,495211.76224115235
122786,739856.2522063813
66214,661720.3630018225
120240,325052.2659588566
113802,404507.15781582834
169747,617565.5793014434
45819,540192.8023000308
36170,302224.483589949
84049,527282.8225308527
104675,489883.53401213215
66165,1021162.6372230004
92499,275778.12729532283
107783,472135.7583007672
148441,611449.4252568765
12344,404129.8047033079
93256,431163.2175760705
48139,606490.7586562032
101908,410016.0075524831
134084,567516.3636090741
17216,151176.35921917576
185201,830958.0323287024
185016,432224.8275390926
25318,611512.2383035677
65253,357810.15706633823
57696,240873.02936817444
30939,414755.47178784315
128338,665310.444879777
104156,561479.3367792782
41455,423294.119645787
126390,540315.5216153036
165803,709881.6233102268
108253,609459.0724526847
15221,462249.06540817366
129322,437505.9412584482
86142,591742.5276478105
150957,533472.793490228
97028,591765.9688587588
3219,292887.8741518287
172533,644653.4905831377
147313,497585.4098713363
168865,359431.81437131437
138278,678000.8723360118
82280,644553.8230758685
4380,399033.263009544
4327,432629.29803620273
109861,726608.6588060254
45273,448973.20123519236
102888,653424.5630935215
77664,476347.73893230304
58355,700622.913304585
91308,429485.363904842
169692,641373.2297149134
154931,582973.2063717276
123897,527238.0053189774
43550,606507.2575371113
94084,503742.82254407863
63629,643965.3442946877
163153,663532.6191422874
165076,573701.5888520561
55701,408392.90865072043
19310,288000.49101787026
18205,203233.38761107047
59608,575467.7794339891
60785,621024.5336691311
51513,320772.6509602134
145397,530827.077675573
101693,566764.0169506487
164688,799372.9010705734
82863,409229.486456085
1754,277741.81834482285
5376,578451.2181323518
130074,364288.76428900997
102843,611537.852206459
29760,336149.56747477985
130642,847767.677202302
31347,408604.4683044407
24205,359705.49113869714
165100,552201.8939477245
81514,922378.9634683176
116369,791115.1022229207
84639,714064.9589196991
97982,544263.57964949
91083,833548.332933649
149132,579518.408634769
41826,410970.1052983483
52033,347637.3710919872
21665,52352.309461589844
62257,365184.4679498541
10102,282420.78782586026
23904,293859.8081858108
179693,842374.6507041623
144227,940882.4131901416
120211,414487.4512183438
173440,822376.3513509898
46749,373744.9857600109
96942,814899.47438294
183177,663528.147754714
35398,289152.6929294737
30263,390484.2313938688
48194,379081.2833659622
129424,777762.8277042662
110123,880567.5465815049
60370,353333.2286656797
33837,273519.6153196156
108049,799469.5803839095
78656,743977.6630252224
7172,289813.9711627554
66304,610078.9384354402
78058,383417.36820531695
176324,835088.6242685176
165880,674522.9296799449
93902,600661.2786969861
116039,500831.48410540645
151166,690121.1721848345
40210,654663.792284612
98367,546879.3433774626
160925,611829.9006339657
104371,488456.74800255627
78415,628344.0974348811
83660,582765.7393790458
121434,766930.4842645722
78336,771527.0364264845
52510,445387.4164906818
64261,492573.2087905931
97749,636782.9841578815
172084,575218.7730794153
52569,527409.7521239589
57400,482759.75872634305
169875,702746.1297598348
58398,502696.33530330454
183622,829646.9694243281
48753,570105.8837225704
130190,519613.04887525947
108466,606086.4255310659
157786,733743.4594415035
95190,605623.9289379605
87452,421775.7648523572
142203,674237.6869067834
130773,810305.898151861
168853,346068.147729903
64684,674899.0133755463
57446,104304.31857568136
153747,685022.3651241064
159666,715980.2290281666
71555,683292.2547684715
134319,727178.2088988329
93943,540216.2113367912
109872,779226.7951422879
177223,841466.7788696102
93784,616494.6831940721
6380,130966.2622851851
132297,598146.4323549722
125110,590019.7460363719
36843,363530.5618336358
121955,684471.2825596803
82973,730777.2502612357
103986,375067.08244373393
97824,373301.01414393436
64151,673131.1128356757
165946,349156.00724488264
159307,468359.2915313788
131434,441721.58954908163
8556,540953.6478545936
37868,305639.6607991378
14032,494013.2992520037
21341,393991.6836864044
135288,656398.3340446332
50116,143628.0333828134
97940,555400.9360706407
162134,737085.5456457816
166998,533866.8842315678
137392,801500.3239575485
1460,253568.4801914148
171905,622836.7408687996
175067,629665.1605957154
172514,658277.7303879284
17738,267512.64036067325
67047,490886.03001977986
124014,664681.5057310651
185762,800364.2726000897
1311,571228.5956931165
119140,787824.5355455305
142546,532155.6543150153
114400,588727.5686439031
22406,421368.63351172366
92766,453392.99210478243
60485,493392.8135721017
91648,635647.1152422489
132526,822773.3396011903
25180,700949.5264992989
48904,334937.31823413266
146550,991272.008530888
19407,456655.8339967761
47699,288616.4754038628
2620,399886.7039557962
174106,728582.8149419
112846,676599.1610069994
83926,375931.80120476405
64285,606414.9889313792
5733,293049.974264559
87638,732755.0559408108
53604,499222.7986487075
53244,464463.7610674227
82872,437350.7420592609
66096,680227.3663615109
173642,749401.7920161821
145405,502549.1822912059
90156,795898.2061655682
180075,834655.3493705908
5153,469467.79634354654
134959,757622.7584754555
64342,554796.5152570636
51154,315407.7318341157
40845,286065.2593493174
170881,711572.5926042153
106257,786305.2642237563
114464,522727.48079888517
97370,531111.7898397618
172227,685463.9007958133
151941,734184.3869894277
107035,726003.2418627171
135274,318975.0164971794
169795,699676.0551544476
83718,441397.9483514202
42632,420520.82496843836
68198,501326.17696489586
112707,706418.100565911
36740,281791.20098876965
42954,503689.4728012512
5921,360612.82988549926
40850,263513.7002352106
44668,522492.45687049517
21263,228542.78188431065
162241,571748.7252940305
81902,697221.8315502306
169151,542667.916201615
154334,472065.3206949102
59218,402635.5970326797
37714,331151.81513815443
106222,558644.6568555294
139069,550960.157336093
4425,599283.4527902541
140007,637602.8075069799
90024,564379.7928201623
153101,622479.319022669
37538,332977.6462734806
32399,303685.9904839316
38946,361786.7055170045
151272,471031.35738296196
95430,489949.52971069154
101750,747452.6211411611
16356,151133.6981818282
131496,579467.4902746268
167864,633856.8385707075
17832,367649.91768861917
106738,571532.2053984278
33431,226446.9057263449
164505,592246.1805156756
47565,584580.3774588113
99660,569379.6002463783
20200,365612.77157010837
28507,592115.3656839828
43495,567746.2504894955
23794,219135.33574502927
40297,183510.25724364183
53944,832292.976661778
11040,737697.1437904263
106585,542245.6342261861
70050,745023.6201934393
75026,514552.83143513376
142562,677231.6934076953
113332,657190.3979794461
104548,686247.3479977965
159065,760421.2206366556
157589,745719.409976844
26850,340283.51313972974
83917,266640.2610690068
124331,452962.70132638636
58018,329053.628697745
163913,570278.7481130379
109105,452717.7348050336
97862,322530.2660887005
16478,183822.18514040444
35187,452995.16829458874
25446,393746.8790723559
47828,239242.4711344677
123220,614680.5666422005
16366,185051.56654582464
144449,476051.3512061012
39920,213309.15752699814
160888,575234.1371001295
47978,461711.18271495745
14331,394142.73937651963
60334,424713.96673985384
49737,227334.42546178665
98533,485073.82068429823
38375,594738.2211653555
176978,701755.9734239021
60474,544130.6136393918
163806,629558.8022981058
4654,443020.5588753574
130912,503373.6585775753
115098,648570.3624857476
56214,501868.6541611231
63720,202676.92975205428
143496,534062.822643821
33941,80701.01963483606
66720,326753.56418722635
29518,309503.7645683012
68026,648268.140656763
161546,551123.8163507321
118804,506248.7006339568
126852,684400.5555500293
102392,831862.409729551
49738,202856.9755685196
49424,476207.6679760544
18184,600076.1419209145
5408,740220.6126180801
157571,685146.6162780214
111705,571650.5150130684
179891,860941.835347532
76587,414068.0581936635
2629,435887.09353808744
119008,460036.74421251926
128414,265290.3348365095
162481,804644.8707253786
39075,173650.6038214519
113444,652060.0786667384
58984,702254.0090880215
134087,569360.0411500348
27723,268379.7419394645
61426,737637.6617352555
26496,291643.2542794184
8183,400205.17710316286
96508,597761.0215338682
56072,533947.3051089672
77192,794002.0212521055
84054,547520.7617132473
55624,430878.0781729283
163711,632292.5117584676
29219,494534.05328320817
81813,614376.6740657005
181000,621346.3374719726
143894,782077.0192020602
141800,636407.766203399
30009,216504.55251849338
45917,403127.01452756947
14425,237996.39803620364
23268,393982.19246463536
1284,208372.46335277375
69986,776928.8726069594
134779,479404.37023063353
78114,541894.4638280915
128833,491483.0577394405
129335,418721.32785797614
56632,514383.0174150475
46967,406029.148925493
146611,524532.0234351446
37748,287064.3214439544
156600,640772.671358879
105167,506376.92040448124
35572,414474.82340914634
154900,737276.8106481481
68778,431446.07494368614
40761,750015.9747978181
76922,642004.2634960234
57737,341934.4036889225
63946,692590.7255109423
111235,531041.1285009957
114882,804235.2645311266
12676,284335.2292489191
138376,789960.8943058217
90637,364376.9385860178
184522,696892.4909117611
92974,718286.1396625882
8857,434900.3107103739
27895,202081.23712443578
156181,694905.2569328157
41834,544468.7055172003
157391,542991.8224580211
143702,367260.5916728886
185912,727160.2360879484
11229,443910.71654046705
41300,455809.07208850805
72247,576707.5278354195
83180,602997.6108426427
148335,425243.1572240884
7890,524901.3273590293
135138,762105.461042137
27131,366944.14961361827
166558,747774.4860230898
131032,639587.9091280713
74357,779496.490032739
156049,679180.7887046268
69414,695259.2161594509
97276,558673.5091887605
82842,444433.792431252
148527,755055.9437551831
144752,626022.4548628615
18175,597632.3524941737
11905,312448.50577161997
171029,550167.4244594213
59320,570380.5964582901
84110,376516.58683752996
78965,959684.9274242779
85951,589654.1137600103
163141,613457.3358254652
109999,757543.1238867897
147801,582071.170234269
139213,861784.1466610127
126460,668438.2962598781
28015,329852.35452688456
181431,854249.8672703633
52696,725482.6178344133
50605,351088.3510173609
165242,548088.1070631259
48813,205745.1444161347
110483,566246.6603280641
89306,679695.8318836738
133442,652085.9039583663
65829,463914.2187557745
87579,520894.103299059
91465,745999.4916355603
73701,652526.7367327651
15530,552407.869086818
18230,317342.4187575747
97193,601213.3777645963
166625,576544.7287740423
33195,623597.1700610642
136148,726840.2607710455
165033,736278.0094341207
21315,239230.13872952366
91814,384158.4141989427
16891,335379.2699591304
107918,787264.7403309451
79471,507332.6934750875
21862,672200.888113811
67991,494295.95591706416
165486,701478.9442807405
63600,722182.645623303
110049,538676.1034752827
112307,560370.9404916255
10157,306578.3807458537
74635,652380.3677300321
25784,491356.3940044857
107059,462348.8078001107
30356,291161.6859081713
87516,611272.4738532741
10936,818994.719862255
88543,383330.9486953901
139877,693785.8147523392
42424,452574.80502792203
52670,625027.2891679934
166867,758760.3875612422
101107,693952.7205456641
76199,599968.993739622
80888,588793.3660880129
9911,341802.5186834162
156640,504988.4397868907
102356,492049.2135763285
48860,399811.16351551306
102849,648675.4151275548
138105,588934.9038764772
117983,473075.5501552704
93922,635381.1261296354
46238,239876.9558788907
59022,692350.8921527246
106646,613694.7464691155
120040,599144.3909667627
126172,439946.37880773394
168000,499090.1994316547
80749,631054.893130101
131491,510929.6736929336
112112,713005.2158360549
47501,459600.6246588943
13728,382625.25024558546
101768,438738.7891548438
6316,152953.06750476803
126098,865114.0139674267
165,338359.3999329195
19524,445663.4619153369
150677,572519.1783116168
59379,469346.7771578888
74454,681102.4109569578
175450,883571.4898142419
89244,677299.9634999606
116506,519843.636244939
147339,701268.9207502245
74001,615762.1400431392
90922,471652.0122520525
1820,624857.3226686787
110186,259730.90964849904
62682,516279.2035743493
89581,911041.829521151
137848,669463.6645377963
161798,574759.619330719
170742,755874.1954956641
82918,577230.4551491416
37679,415482.2234032797
154926,473021.386606224
149598,452572.6784569711
44725,212687.4688729007
90766,431672.3310692896
148899,804110.0356543782
126592,464884.66310308024
157908,524255.2858681385
113713,494766.71564530523
148870,686915.8669626529
165510,632204.2892232116
101470,336532.6473437893
51743,257082.7229268941
27173,121204.24708116875
27812,281847.2533526744
95488,249763.8264473218
173154,523978.37833781156
121352,588054.1605510858
143803,625914.8854224412
63373,519980.4983584466
1386,237825.49339578775
163514,465075.2220070635
35643,214821.33618329518
120579,484551.9784569425
128369,835436.278577473
141816,495918.043138303
161838,744040.4620001236
71069,455318.1948689588
77131,755919.2930115771
17667,299738.59480568976
52148,670300.7180093108
72854,545565.7115970769
102035,569132.8826123406
111359,674250.7804959272
17719,304691.15900917875
123306,560474.3072630459
161864,675579.0738371018
180849,704389.7553252635
160993,858124.9415984632
162321,425267.98805827077
46481,45920.90867392701
79814,418615.69302291085
137789,746143.9023944896
54212,195859.60053661285
